id,geom,Unemployment Rate,Employment Rate,Family Identity Card,Death Rate,Migration,Registered Residents,Health Facilities,Mortality,Water Access,Internet Access,Electricity Access,Income per Capita,Population,Birth Rate,Households,School Enrollment,People Density,Average Age,Vehicle Ownership,Literacy Rate
1,POINT (105.281061 -4.233305),34.27,81.75,976283,13.59,19.53,407456,229512,34.89,70.35,1.77,41.12,3671283,593640,63.8,549277,6.9,2626,56,5,25.12
2,POINT (113.152383 -6.911650),6.97,10.59,358398,16.2,91.62,485678,823759,3.65,5.97,97.44,43.82,1453873,159811,22.26,590946,17.23,16281,53,3,82.02
3,POINT (119.470564 -5.261961),74.37,81.04,173146,69.74,8.95,60685,914118,63.43,39.23,53.89,38.12,3250155,409022,25.49,316512,42.35,13530,24,0,92.92
4,POINT (100.835160 -1.463882),4.16,31.48,426335,56.11,84.32,393211,837170,1.66,21.0,1.31,84.47,5838866,70057,88.48,97228,36.77,10101,63,0,80.24
5,POINT (111.399916 -1.029292),11.89,67.17,263691,17.96,79.01,373971,419742,37.88,51.57,72.89,68.79,9852151,929989,18.15,190681,79.0,2040,52,4,24.71
6,POINT (137.835171 -2.708317),51.27,98.85,951220,65.36,55.54,182441,984868,2.87,0.9,85.8,94.57,14277343,24662,99.89,156879,97.3,1173,78,4,42.34
7,POINT (132.417364 -0.417787),93.68,77.74,73700,83.74,97.64,525199,267818,16.99,68.19,23.67,88.5,13580464,50511,53.97,690643,34.92,12204,43,4,34.14
8,POINT (120.055296 -4.395084),69.21,34.51,630072,19.12,13.33,49046,663668,17.3,28.2,78.62,30.42,6905879,279277,96.83,820210,87.28,23858,31,4,34.31
9,POINT (102.194740 -0.938261),83.86,95.03,957977,42.26,51.08,458132,441911,13.37,89.51,56.13,71.14,8080989,636382,17.52,373298,82.41,3100,76,3,22.01
10,POINT (138.661035 -3.644394),92.79,84.8,799595,5.8,42.7,510504,297498,13.4,37.87,72.2,80.73,7817410,967862,39.05,714120,76.05,6815,66,3,66.09
11,POINT (105.739125 -4.540724),66.97,29.87,789758,29.97,39.88,741187,26331,24.57,40.8,53.29,34.57,6843454,964279,80.6,700762,6.06,17981,27,4,91.65
12,POINT (137.647576 -5.122620),21.61,21.33,870722,18.13,68.84,185095,755924,76.51,46.32,85.46,66.74,4314709,243319,79.9,595843,97.85,1886,72,2,44.09
13,POINT (115.428938 -2.742071),48.38,86.41,745797,99.89,1.55,918178,108297,30.05,23.66,85.03,71.16,2803715,54092,54.94,369368,33.19,13234,53,3,44.34
14,POINT (138.830643 -3.902128),55.37,70.16,365599,18.74,42.22,647624,83985,21.61,53.31,18.52,76.02,12418078,520910,95.9,909838,29.81,10345,51,4,46.31
15,POINT (98.569501 3.162933),80.54,53.41,39034,44.97,44.53,455900,110184,97.75,9.33,85.89,66.73,7530893,758055,61.63,831622,49.81,1201,25,0,93.09
