id,geom,Income per Capita,Internet Access,Migration,Health Facilities,Literacy Rate,Death Rate,Registered Residents,Unemployment Rate,Vehicle Ownership,People Density,Households,Family Identity Card,Average Age,Water Access,Employment Rate,Population,Electricity Access,Mortality,Birth Rate,School Enrollment
1,POINT (104.806464 -3.734571),3266106,88.4,6.41,475184,82.96,71.41,832510,46.31,2,17374,263505,383277,70,39.75,20.19,917151,76.47,1.74,69.09,38.37
2,POINT (108.185201 -7.547325),9915844,94.4,53.23,513968,65.04,66.36,290371,3.26,0,1392,558450,821624,40,72.58,92.62,337737,40.8,72.53,94.79,21.35
3,POINT (109.500979 -0.854533),5408282,70.82,42.99,316182,63.02,60.09,91578,74.98,5,11876,168403,580908,69,14.57,94.52,447928,94.43,9.22,2.88,5.72
4,POINT (100.461304 0.822442),5906684,84.15,61.19,84721,55.02,15.92,478789,33.3,2,10187,600408,311439,34,98.7,33.91,622379,51.7,61.97,80.92,91.87
5,POINT (125.132438 -1.692487),5897658,61.07,81.2,336949,23.09,20.15,945501,46.61,1,24609,779724,319843,53,68.91,85.21,27633,1.51,40.94,36.81,24.16
6,POINT (103.086744 -3.156981),11151179,60.48,16.22,729279,44.77,94.97,34322,1.49,5,5956,617802,79352,67,70.72,24.92,664480,18.87,19.3,81.61,65.2
7,POINT (136.250820 -2.964074),8354756,58.69,1.24,984863,79.82,40.99,408599,30.95,2,9197,65787,209889,24,5.28,15.53,49106,79.42,94.17,20.17,58.55
8,POINT (113.445985 -3.163847),10020478,87.33,17.7,991117,21.47,4.33,755138,14.95,3,15840,247030,308355,66,6.54,26.03,794363,21.19,43.04,80.06,4.64
9,POINT (112.434177 -1.873440),6086892,73.54,65.4,259331,11.66,77.03,757781,63.18,4,17053,844024,439212,74,3.84,72.47,502328,94.99,2.02,28.93,64.79
10,POINT (133.811658 -1.337211),11268420,79.02,4.96,517539,37.37,24.08,78293,73.78,4,2220,978657,917689,42,62.37,79.28,514000,76.34,26.44,13.64,0.8
11,POINT (105.794653 -4.598966),11532289,39.05,54.71,829189,12.92,24.7,22832,18.64,4,1580,864939,97374,54,90.87,52.6,615314,75.79,58.28,54.45,63.64
12,POINT (122.077116 -3.673596),7346758,43.68,73.29,923898,76.25,95.43,662394,21.17,0,15949,961881,2247,75,71.35,43.88,509115,64.78,10.9,77.36,62.39
13,POINT (114.099005 -8.574742),6465285,12.44,5.85,508628,77.42,41.63,703161,67.51,0,8740,468321,821057,28,48.97,0.42,566289,74.39,73.04,59.73,48.07
14,POINT (107.393749 -6.557720),5045631,11.84,78.86,635751,22.36,73.6,85803,99.94,2,9153,16867,939217,74,4.51,29.75,484529,54.76,1.29,95.83,26.83
15,POINT (114.638957 -8.316255),6510676,34.23,31.61,679098,73.68,21.89,145250,73.43,3,24640,737493,800477,71,92.79,40.54,146845,54.13,26.59,26.38,42.87
16,POINT (104.419928 -3.417043),8626706,78.52,86.19,105643,91.47,91.77,864685,33.59,0,22314,761108,841395,72,23.23,26.52,24179,58.86,13.22,55.04,74.32
17,POINT (116.251841 0.490530),4160065,58.29,86.71,580952,65.36,22.37,983406,82.37,4,2612,14390,211396,76,49.14,42.87,81149,27.28,86.14,84.14,16.71
18,POINT (140.569964 -4.458417),4323380,70.36,17.38,614039,84.48,72.35,959098,79.35,0,20334,86473,386067,54,82.05,19.37,332407,48.25,31.3,30.99,25.17
19,POINT (140.295324 -2.860778),9831756,71.62,86.64,376687,80.97,60.61,484610,58.89,2,17022,178744,320971,27,29.41,1.99,994643,19.58,15.25,70.85,99.9
20,POINT (132.250802 -1.129505),1427504,47.77,44.41,191547,13.92,17.42,908083,2.75,3,16159,34074,709728,62,14.15,38.0,811306,95.77,22.04,84.07,92.57
21,POINT (112.146743 -2.908885),6805025,68.97,61.73,985498,49.58,11.78,559210,7.08,4,13615,231068,821579,60,99.86,9.25,91853,95.77,17.92,35.41,11.81
22,POINT (115.763500 -2.932376),4373992,55.57,17.49,381394,37.29,59.7,944117,68.63,2,24937,902266,360416,22,12.64,37.58,931770,4.67,46.4,67.39,23.03
23,POINT (109.768934 -0.925019),3596046,76.63,45.72,73666,64.89,78.21,37684,12.46,4,17735,754618,108658,68,64.74,50.96,876397,51.3,66.23,36.28,28.34
24,POINT (113.806866 -0.930526),10523374,10.23,89.27,510318,27.88,15.45,593795,41.4,5,24561,893522,766682,72,19.73,31.55,628390,99.83,9.73,44.89,14.41
25,POINT (111.231122 -7.130026),12271499,27.85,65.21,81771,12.22,52.0,749568,33.9,0,24270,346796,677823,32,8.17,31.05,271795,70.73,72.03,84.41,31.15
26,POINT (117.361459 2.062064),10473903,8.72,83.69,752167,70.46,15.81,289056,98.34,4,14864,466722,273001,30,44.23,75.16,995628,79.57,5.59,93.89,32.83
27,POINT (103.096105 -3.966803),1653747,22.72,48.46,547376,74.92,99.73,792806,45.49,3,7238,859719,147499,63,88.92,36.42,791711,81.86,49.86,35.94,62.79
28,POINT (122.875381 0.752361),14996792,38.06,7.48,778469,40.64,92.02,162659,58.45,1,19062,278234,234378,32,15.98,20.2,564543,63.54,40.81,1.68,67.83
29,POINT (124.062580 -9.915303),11682468,81.1,63.45,77764,5.9,58.04,854913,12.11,1,15481,218643,885543,57,43.37,8.43,806863,52.97,55.84,24.05,53.59
30,POINT (100.135158 -0.052002),12921540,96.43,68.9,672220,12.16,48.8,393980,86.18,3,6490,425637,328336,61,84.32,38.9,380727,26.16,92.58,37.65,67.33
31,POINT (113.074261 -7.062724),4799558,26.37,88.55,986133,33.04,87.58,850894,2.68,3,18829,446870,756785,71,42.78,70.47,577516,18.11,23.6,66.12,51.21
32,POINT (115.484653 -2.623390),9356972,13.94,56.6,824802,40.95,75.16,278592,44.4,4,13423,330277,326346,44,76.08,12.31,316874,88.37,74.68,25.15,10.8
33,POINT (114.703290 -3.290528),8300969,38.12,67.58,842773,20.85,8.0,617288,81.4,4,21892,899488,61578,80,56.9,95.85,400437,17.91,87.12,3.76,21.44
34,POINT (112.020380 -2.815112),12396433,89.98,1.63,533785,9.06,78.4,871466,32.12,1,8616,803322,508143,63,81.02,56.06,98519,69.14,3.14,98.71,54.81
35,POINT (113.382823 -1.139298),8151709,64.8,85.77,484018,26.75,48.45,259828,18.93,3,17510,831687,90032,57,67.41,28.13,127028,33.82,36.21,22.81,32.14
36,POINT (104.296243 -2.900511),2123618,62.89,91.3,837105,95.44,30.6,892956,37.42,0,16748,257006,48797,34,96.16,33.77,459620,86.2,67.78,41.2,32.5
37,POINT (104.204198 -4.309518),3154965,68.69,61.54,332137,14.06,77.16,205683,10.71,4,10285,995405,186120,25,82.98,99.95,854876,51.44,10.67,54.62,19.79
38,POINT (140.857846 -3.603606),5131604,51.12,98.7,499632,29.62,77.1,312206,30.4,4,15815,193622,429158,29,3.94,36.92,41600,31.33,75.86,23.23,51.25
39,POINT (138.297777 -5.793848),1910912,39.99,26.86,546865,70.19,56.47,641055,36.84,0,9283,483421,108629,63,26.92,61.3,8793,63.66,98.09,94.15,61.18
40,POINT (138.148237 -4.140981),7243500,60.69,31.5,280763,63.15,35.28,250488,22.75,3,23075,368715,196210,46,92.86,99.43,471733,21.07,38.03,62.31,73.63
41,POINT (104.602578 -3.236489),1001444,95.48,4.16,297329,89.1,35.13,940544,94.04,1,19909,616125,742159,80,51.47,68.65,574626,92.74,40.4,46.9,9.36
42,POINT (115.267775 -3.627733),5594032,39.38,10.77,141758,17.03,72.55,850172,65.16,0,13913,581356,20447,52,17.78,2.56,51646,19.5,76.7,46.48,76.04
43,POINT (102.205291 -1.332874),9629856,96.56,9.26,357344,34.98,98.12,618301,86.0,1,19292,954389,369184,65,9.66,84.53,987359,69.56,69.4,8.89,37.29
44,POINT (96.483493 4.097140),13847520,14.51,93.47,947622,35.23,15.03,930680,25.04,3,1589,453526,396879,76,88.62,20.89,183304,37.59,76.06,67.74,4.46
45,POINT (136.726464 -3.170720),11456794,70.86,47.71,795963,54.4,58.66,261551,47.28,1,15026,974234,303331,56,14.08,80.74,662487,10.6,88.37,21.45,96.31
46,POINT (114.412213 0.888892),9512904,7.99,58.12,162539,1.82,81.35,282126,21.37,3,16450,438882,633353,25,27.25,80.32,651737,63.47,94.52,36.08,99.21
47,POINT (101.487348 -2.183549),7947945,92.67,61.41,971125,8.25,10.94,480203,94.12,3,6999,708764,428766,64,77.81,23.74,851456,51.96,60.97,17.2,56.19
48,POINT (139.288091 -4.815378),9917679,36.87,16.84,686800,86.22,20.84,920474,81.86,0,23513,116531,131775,79,61.66,59.58,191999,32.73,94.46,32.91,19.57
49,POINT (133.251135 -0.783341),8007544,29.82,85.17,408656,8.48,81.47,544782,90.97,0,17723,205850,675124,49,41.97,65.85,482701,14.79,75.71,75.91,30.84
50,POINT (110.767490 -0.357179),3328784,75.55,7.21,636797,92.67,61.52,352315,84.54,0,4653,114781,605083,22,50.52,6.34,650514,29.97,19.59,64.11,15.75
51,POINT (136.783063 -3.687288),6660990,13.84,89.36,615198,28.69,15.49,968295,54.7,4,11214,580935,86219,70,89.03,3.15,992342,4.46,76.72,98.92,23.04
52,POINT (118.644190 1.259640),3451529,31.34,39.69,760400,80.04,43.38,224190,25.09,3,5093,152412,638966,37,27.02,12.23,901475,58.99,21.06,23.41,21.98
53,POINT (116.815506 1.604437),10355324,65.48,49.68,907910,77.28,54.89,58554,47.42,4,2634,122325,237418,36,40.33,38.91,901192,48.48,85.62,58.87,6.88
