id,geom,People Density,Unemployment Rate,Population,Water Access,Households,Average Age,Vehicle Ownership,Health Facilities,Literacy Rate,Mortality,Electricity Access,Birth Rate,Death Rate,Internet Access,Migration,Employment Rate,Income per Capita,Family Identity Card,Registered Residents,School Enrollment
1,POINT (140.265590 37.501004),1443,49.39,483073,79.09,500785,76,3,172552,33.51,40.89,69.93,55.77,80.94,43.86,30.12,9.1,12754555,959058,800357,17.31
2,POINT (140.396617 40.205901),12629,53.6,675459,70.78,619609,65,0,564293,89.36,39.03,63.53,34.19,52.7,27.47,26.76,11.65,1719414,799074,381151,7.29
3,POINT (140.742765 40.345307),17095,20.43,919741,19.3,855067,69,4,313638,47.33,9.89,44.94,0.46,91.74,43.36,49.55,43.09,7339597,238450,918923,37.88
4,POINT (142.967860 42.149183),16697,82.49,81983,15.18,439646,67,1,912159,20.05,85.67,39.39,36.53,27.3,49.45,96.23,91.17,13885252,71127,816706,76.58
5,POINT (142.744374 43.123377),20953,88.08,105675,66.15,548997,62,0,97163,37.33,12.22,60.61,81.35,90.32,71.74,21.97,67.92,8262782,381557,853203,73.52
6,POINT (139.469197 35.763838),20500,15.14,366614,31.5,430049,29,1,415469,67.98,28.31,79.1,66.47,58.07,9.57,70.54,28.94,4072730,381028,778449,44.31
7,POINT (131.927540 32.963383),1189,97.08,933780,58.78,198186,29,4,916235,16.36,58.0,73.53,22.59,66.96,7.19,27.72,8.27,14141387,132227,401894,56.93
8,POINT (139.285473 36.386349),11304,60.67,421157,33.31,387332,43,1,322105,90.57,47.19,39.97,68.65,5.32,23.03,80.79,29.69,8609429,420606,296372,87.75
9,POINT (138.540984 35.150259),17261,21.03,416581,66.18,650895,72,4,539392,84.61,20.03,80.17,94.99,43.55,97.47,24.29,47.85,2427178,187616,902666,43.63
10,POINT (139.490273 36.942546),8559,91.99,558442,93.11,299772,55,2,440794,88.54,25.15,5.66,38.89,65.57,57.31,0.39,16.9,7816321,310269,378428,93.12
11,POINT (143.063435 43.643989),7910,22.78,725029,31.66,616921,58,2,492608,26.39,53.7,8.66,12.45,79.65,19.89,9.26,37.94,7621034,976245,186447,36.98
12,POINT (143.267861 43.525814),6061,9.29,968720,41.99,542332,41,0,810767,50.09,9.8,49.38,71.92,38.98,19.36,45.64,37.85,12037397,732258,707658,22.92
