id,geom,Health Facilities,Electricity Access,School Enrollment,Literacy Rate,Income per Capita,Death Rate,Population,Migration,Mortality,Average Age,Households,Registered Residents,Water Access,Birth Rate,Unemployment Rate,Internet Access,Employment Rate,Vehicle Ownership,Family Identity Card,People Density
1,POINT (108.375526 13.439574),665028,96.56,68.78,1.5,2815665,67.77,157429,70.99,81.26,71,582304,828444,76.29,36.39,25.22,66.66,17.55,1,152518,10828
2,POINT (104.840609 21.350135),162978,8.28,57.1,84.54,12245107,66.34,592258,36.76,2.63,38,161621,771217,46.92,62.16,88.64,46.06,35.62,3,870352,11527
3,POINT (103.427970 22.621471),647186,41.48,24.0,43.22,7625977,65.45,881726,54.72,33.88,74,809591,911371,11.42,36.98,54.95,84.71,58.05,3,930617,20207
4,POINT (105.153511 10.184870),310937,56.02,13.06,64.51,8065625,35.99,253530,20.67,87.91,49,85312,458813,72.82,55.05,20.78,76.97,50.67,5,659173,23563
5,POINT (108.243019 15.471064),187958,56.38,42.22,92.47,13005521,60.78,669217,68.83,21.4,49,932531,169347,56.87,49.89,50.81,75.97,95.76,1,837821,24703
6,POINT (106.753660 21.168071),450684,49.31,7.16,63.84,7496962,10.16,589898,77.3,53.0,40,803237,603567,43.52,96.52,50.51,8.11,9.52,5,402970,23785
7,POINT (103.680602 22.381954),755332,91.59,99.25,14.8,8140250,29.59,356281,29.61,34.54,55,910986,805292,91.62,95.95,54.51,71.63,51.81,1,150185,6317
8,POINT (107.404557 15.536503),358700,81.3,38.58,40.4,4875098,17.25,486145,70.5,14.71,21,663100,150942,67.08,10.4,74.68,19.59,60.82,2,505452,7851
9,POINT (103.559531 22.292952),601067,48.75,35.28,92.99,13276327,30.08,371683,30.81,41.56,23,899702,98555,80.59,45.06,51.71,52.99,23.38,2,974314,19856
10,POINT (105.352944 22.284509),609507,78.09,62.01,68.67,14529738,94.86,605799,14.32,12.17,56,671936,234877,46.42,50.43,92.7,83.36,84.31,0,479352,15943
11,POINT (108.622242 12.986749),324231,35.88,57.47,43.06,10929218,79.77,586767,99.52,62.45,23,420018,983425,78.35,65.12,40.31,7.11,16.36,0,458924,7946
12,POINT (104.529642 20.824959),454691,86.67,40.01,64.83,9076169,20.64,350244,98.43,76.66,55,652300,652434,90.69,25.04,27.69,49.51,76.96,2,442967,12922
13,POINT (107.784681 14.978818),2833,2.47,20.14,66.79,1067815,38.78,273978,5.79,76.85,76,818752,584171,7.88,64.33,24.9,69.71,0.58,3,851668,14088
14,POINT (104.881531 10.347660),928985,24.79,67.31,93.9,10058696,42.09,687589,86.75,42.11,45,895067,111388,83.54,57.92,41.65,63.73,38.17,0,360413,3419
15,POINT (106.465928 21.689904),871328,34.81,77.96,48.13,4732002,21.24,960478,71.57,86.39,73,921582,25024,58.61,69.01,53.7,11.44,74.41,3,422590,21035
16,POINT (109.014120 14.555373),51846,58.62,19.71,93.43,13963787,74.79,419411,25.9,11.03,58,433030,476943,0.24,74.28,30.72,93.58,12.87,5,596987,18744
17,POINT (107.617578 16.219132),900233,66.7,3.33,43.57,2496169,78.55,752579,52.57,44.01,71,286690,554765,71.09,49.26,25.83,93.27,99.01,2,136417,17206
18,POINT (103.822640 21.939399),76119,79.07,70.78,95.79,6380093,22.03,444763,45.08,50.53,35,827947,454795,31.76,81.89,78.09,70.27,23.65,4,459622,5050
19,POINT (108.152689 11.093666),283479,96.0,51.19,33.15,5560165,5.28,536434,38.47,70.38,65,146207,831184,32.49,30.45,58.26,32.66,44.15,5,521455,7989
20,POINT (108.746217 13.567624),29859,36.73,13.79,39.19,12482866,52.61,603745,69.83,15.88,80,452197,925445,45.73,37.01,92.12,62.47,84.73,2,915263,16558
21,POINT (105.922194 22.660457),795959,23.17,16.91,73.36,2630293,77.28,401931,73.77,90.07,27,540343,684001,62.99,56.62,29.7,5.44,13.65,3,990111,2797
22,POINT (107.092000 12.124626),153931,84.95,76.83,93.22,5541270,67.39,576611,89.86,51.71,22,806763,170054,93.02,25.51,26.66,46.95,44.15,2,150532,8822
23,POINT (103.977556 21.000657),568542,39.8,21.34,87.38,13989391,80.22,520677,31.21,65.07,64,250467,673880,49.45,2.67,11.07,31.05,69.89,2,592470,18818
24,POINT (107.512400 12.178395),800019,44.77,69.84,39.31,7195248,9.7,593830,87.41,72.55,57,469313,123460,44.68,86.37,81.79,40.14,56.75,5,139199,15577
25,POINT (105.608556 18.854926),269855,73.47,91.7,64.55,6329311,11.86,290001,99.98,3.99,57,319791,162857,68.24,81.97,43.83,85.65,46.66,5,664412,14308
26,POINT (105.974713 17.750882),400243,97.99,28.51,34.45,3195754,17.88,686526,69.94,23.27,70,532107,168405,48.57,68.2,49.42,87.51,93.05,5,397474,5305
27,POINT (104.960209 19.349728),204990,85.51,45.2,3.42,1944180,93.42,200595,5.97,12.75,65,507322,228384,65.16,98.98,78.34,16.8,55.14,5,347156,17507
28,POINT (109.062738 12.251473),207875,79.68,2.14,27.25,3981765,78.9,101390,37.02,58.17,50,507271,309555,50.97,79.73,32.59,84.92,14.29,4,315121,9387
29,POINT (106.089566 22.040043),922721,60.61,3.96,0.02,14526443,31.01,528523,10.72,23.22,73,554861,122929,86.26,36.85,22.25,1.35,23.43,4,917865,21249
30,POINT (106.199619 18.000976),46525,68.88,54.28,95.81,11642517,61.15,598630,12.38,79.4,45,625160,486454,37.4,99.06,57.8,20.03,40.32,3,732214,22966
31,POINT (108.133739 12.766304),651593,74.51,58.92,33.31,11469182,26.72,947576,68.43,64.73,74,850009,761483,22.07,12.79,22.69,41.72,81.47,0,265031,10548
32,POINT (108.802302 12.890150),861269,9.3,60.21,14.74,6542878,45.12,285757,40.19,59.36,62,297534,342988,11.23,41.67,58.63,25.11,39.62,1,674930,13936
33,POINT (105.634310 22.024155),378781,22.03,48.54,16.2,14310554,84.23,288697,64.56,28.81,63,203045,36285,23.13,28.78,2.73,69.14,95.83,1,492481,12771
34,POINT (104.930686 20.368589),951000,5.57,48.0,89.99,12597046,8.07,406032,26.34,25.77,79,613822,804478,27.31,44.24,49.19,71.36,12.63,4,925350,13386
35,POINT (103.523911 22.462091),237291,37.4,96.93,56.66,12545257,94.15,199220,12.12,1.55,29,26791,979828,56.6,15.38,54.11,29.77,1.57,1,842257,17098
36,POINT (105.577765 9.936959),472608,34.78,32.68,97.11,5147601,76.51,607055,23.51,64.31,65,185630,313735,28.25,30.13,20.85,97.08,15.12,5,428116,24751
37,POINT (107.598040 11.372793),481542,3.91,22.47,50.94,12295056,12.65,186122,54.06,78.33,48,370592,29005,11.77,91.89,58.65,58.55,83.69,3,125160,16391
38,POINT (108.147042 12.808092),104584,17.27,60.09,88.94,9751198,76.15,544555,93.36,42.25,43,701486,619385,18.48,61.94,22.06,76.19,54.02,1,725546,12213
39,POINT (108.089698 12.931753),120714,6.59,58.83,6.16,11244139,99.84,69170,72.44,48.31,58,645933,616025,72.92,12.61,37.8,74.0,65.81,5,234700,15012
40,POINT (106.709338 10.079611),583849,66.06,41.5,20.52,10074610,45.5,73232,77.97,53.27,65,265393,421022,90.1,49.43,90.86,4.47,7.65,2,640427,12172
41,POINT (104.331446 21.382024),492841,80.45,22.38,37.27,7307327,57.56,153449,48.49,6.33,27,259739,641360,93.91,98.02,8.98,81.7,8.81,5,529165,6037
